Kvote;Lærested;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Poenggrense
Førstegangsvitnemålskvote;OSLOMET;Hovedopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;;ØKADM;2020;45.7
Ordinær kvote;OSLOMET;Hovedopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;;ØKADM;2020;52.5
Førstegangsvitnemålskvote;OSLOMET;Suppleringsopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;;ØKADM;2020;44.6
Ordinær kvote;OSLOMET;Suppleringsopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;;ØKADM;2020;51.2
Førstegangsvitnemålskvote;INN;Hovedopptak;209 320;Agronomi;;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Hovedopptak;209 320;Agronomi;;LANDOGHAVBRUK;2020;0
Førstegangsvitnemålskvote;INN;Suppleringsopptak;209 320;Agronomi;;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Suppleringsopptak;209 320;Agronomi;;LANDOGHAVBRUK;2020;0
Førstegangsvitnemålskvote;INN;Hovedopptak;209 362;Agronomi, årsstudium;Hamar;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Hovedopptak;209 362;Agronomi, årsstudium;Hamar;LANDOGHAVBRUK;2020;46.8
Førstegangsvitnemålskvote;INN;Suppleringsopptak;209 362;Agronomi, årsstudium;Hamar;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Suppleringsopptak;209 362;Agronomi, årsstudium;Hamar;LANDOGHAVBRUK;2020;46.8
Førstegangsvitnemålskvote;UIB;Hovedopptak;184 540;Aktuarfag og dataanalyse;;REALFAG;2020;0
Ordinær kvote;UIB;Hovedopptak;184 540;Aktuarfag og dataanalyse;;REALFAG;2020;0
Førstegangsvitnemålskvote;UIB;Suppleringsopptak;184 540;Aktuarfag og dataanalyse;;REALFAG;2020;0
Ordinær kvote;UIB;Suppleringsopptak;184 540;Aktuarfag og dataanalyse;;REALFAG;2020;0
